seed,solucion,f1_promedio_ponderado_km,f2_distancia_maxima_km,f3_numero_centros,indices_centros,centros
0,61,41.9734948534894,99.736447,6,"[1, 14, 16, 21, 26, 35]","['Aldama', 'Gustavo Díaz Ordaz', 'Jaumave', 'Matamoros', 'Nuevo Laredo', 'San Nicolás']"
6,91,42.0018804825928,95.229076,6,"[1, 13, 18, 26, 32, 35]","['Aldama', 'Guerrero', 'Llera', 'Nuevo Laredo', 'Río Bravo', 'San Nicolás']"
15,66,42.66250539226249,96.206293,6,"[1, 6, 26, 30, 32, 35]","['Aldama', 'Camargo', 'Nuevo Laredo', 'Palmillas', 'Río Bravo', 'San Nicolás']"
18,43,44.387981608234895,99.762503,6,"[11, 14, 21, 26, 33, 40]","['González', 'Gustavo Díaz Ordaz', 'Matamoros', 'Nuevo Laredo', 'San Carlos', 'Victoria']"
20,58,44.64016295632704,97.088288,6,"[11, 14, 18, 21, 26, 33]","['González', 'Gustavo Díaz Ordaz', 'Llera', 'Matamoros', 'Nuevo Laredo', 'San Carlos']"
7,15,44.73965700354259,97.088288,6,"[6, 11, 18, 26, 32, 33]","['Camargo', 'González', 'Llera', 'Nuevo Laredo', 'Río Bravo', 'San Carlos']"
8,67,44.81040896279399,97.088288,6,"[11, 14, 18, 26, 32, 33]","['González', 'Gustavo Díaz Ordaz', 'Llera', 'Nuevo Laredo', 'Río Bravo', 'San Carlos']"
27,58,44.94039170699414,95.229076,6,"[1, 14, 18, 26, 32, 33]","['Aldama', 'Gustavo Díaz Ordaz', 'Llera', 'Nuevo Laredo', 'Río Bravo', 'San Carlos']"
18,37,45.9347047413637,97.298421,6,"[1, 14, 21, 26, 28, 33]","['Aldama', 'Gustavo Díaz Ordaz', 'Matamoros', 'Nuevo Laredo', 'Ocampo', 'San Carlos']"
18,10,45.944894787222495,96.206293,6,"[1, 14, 21, 26, 30, 33]","['Aldama', 'Gustavo Díaz Ordaz', 'Matamoros', 'Nuevo Laredo', 'Palmillas', 'San Carlos']"
28,53,46.044388834438045,96.206293,6,"[1, 6, 26, 30, 32, 33]","['Aldama', 'Camargo', 'Nuevo Laredo', 'Palmillas', 'Río Bravo', 'San Carlos']"
1,21,49.67153925110127,100.360123,6,"[11, 14, 26, 29, 39, 40]","['González', 'Gustavo Díaz Ordaz', 'Nuevo Laredo', 'Padilla', 'Valle Hermoso', 'Victoria']"
10,69,52.68986802709992,100.360123,6,"[6, 11, 18, 26, 29, 39]","['Camargo', 'González', 'Llera', 'Nuevo Laredo', 'Padilla', 'Valle Hermoso']"
2,46,54.21148280587767,101.36811,6,"[11, 24, 26, 39, 40, 41]","['González', 'Miguel Alemán', 'Nuevo Laredo', 'Valle Hermoso', 'Victoria', 'Villagrán']"
0,46,9.639804742129789,218.757001,7,"[7, 11, 21, 22, 32, 34, 39]","['Casas', 'González', 'Matamoros', 'Méndez', 'Río Bravo', 'San Fernando', 'Valle Hermoso']"
0,20,9.64548053305068,197.327862,7,"[7, 11, 21, 31, 32, 34, 39]","['Casas', 'González', 'Matamoros', 'Reynosa', 'Río Bravo', 'San Fernando', 'Valle Hermoso']"
4,17,10.262958336863683,197.327862,7,"[0, 11, 21, 31, 32, 34, 39]","['Abasolo', 'González', 'Matamoros', 'Reynosa', 'Río Bravo', 'San Fernando', 'Valle Hermoso']"
0,19,11.802306795671146,146.150389,7,"[6, 7, 11, 21, 32, 34, 39]","['Camargo', 'Casas', 'González', 'Matamoros', 'Río Bravo', 'San Fernando', 'Valle Hermoso']"
0,91,12.045891782517742,129.804564,7,"[7, 11, 21, 24, 32, 34, 39]","['Casas', 'González', 'Matamoros', 'Miguel Alemán', 'Río Bravo', 'San Fernando', 'Valle Hermoso']"
0,21,12.228397457087373,128.460678,7,"[7, 11, 21, 23, 32, 34, 39]","['Casas', 'González', 'Matamoros', 'Mier', 'Río Bravo', 'San Fernando', 'Valle Hermoso']"
2,12,12.361329876361348,128.460678,7,"[7, 11, 13, 21, 32, 34, 39]","['Casas', 'González', 'Guerrero', 'Matamoros', 'Río Bravo', 'San Fernando', 'Valle Hermoso']"
4,71,12.419784599484151,152.051734,7,"[0, 6, 11, 21, 32, 34, 39]","['Abasolo', 'Camargo', 'González', 'Matamoros', 'Río Bravo', 'San Fernando', 'Valle Hermoso']"
4,52,12.575676675251358,146.150389,7,"[6, 11, 21, 29, 32, 34, 39]","['Camargo', 'González', 'Matamoros', 'Padilla', 'Río Bravo', 'San Fernando', 'Valle Hermoso']"
4,70,12.81926166209795,133.161241,7,"[11, 21, 24, 29, 32, 34, 39]","['González', 'Matamoros', 'Miguel Alemán', 'Padilla', 'Río Bravo', 'San Fernando', 'Valle Hermoso']"
4,29,12.899659382636669,129.804564,7,"[11, 12, 21, 24, 32, 34, 39]","['González', 'Güémez', 'Matamoros', 'Miguel Alemán', 'Río Bravo', 'San Fernando', 'Valle Hermoso']"
0,45,13.0821650572063,125.23272,7,"[11, 12, 21, 23, 32, 34, 39]","['González', 'Güémez', 'Matamoros', 'Mier', 'Río Bravo', 'San Fernando', 'Valle Hermoso']"
2,64,13.215097476480278,125.23272,7,"[11, 12, 13, 21, 32, 34, 39]","['González', 'Güémez', 'Guerrero', 'Matamoros', 'Río Bravo', 'San Fernando', 'Valle Hermoso']"
0,44,13.629647646046207,122.698237,7,"[11, 21, 23, 32, 34, 39, 40]","['González', 'Matamoros', 'Mier', 'Río Bravo', 'San Fernando', 'Valle Hermoso', 'Victoria']"
0,41,13.762580065320183,106.008269,7,"[11, 13, 21, 32, 34, 39, 40]","['González', 'Guerrero', 'Matamoros', 'Río Bravo', 'San Fernando', 'Valle Hermoso', 'Victoria']"
15,30,14.181621429674006,116.83644,7,"[11, 21, 26, 32, 34, 39, 40]","['González', 'Matamoros', 'Nuevo Laredo', 'Río Bravo', 'San Fernando', 'Valle Hermoso', 'Victoria']"
6,12,14.75290200696681,122.698237,7,"[11, 18, 21, 22, 23, 32, 34]","['González', 'Llera', 'Matamoros', 'Méndez', 'Mier', 'Río Bravo', 'San Fernando']"
6,51,14.885834426240788,120.713771,7,"[11, 13, 18, 21, 22, 32, 34]","['González', 'Guerrero', 'Llera', 'Matamoros', 'Méndez', 'Río Bravo', 'San Fernando']"
