p,seed,fitness_km,indices_centros,centros
5,15,91.87765660620194,"[10, 28, 34, 36, 27]","['Gómez Farías', 'Ocampo', 'San Fernando', 'Soto la Marina', 'Nuevo Morelos']"
5,16,30.104638138379983,"[18, 32, 22, 33, 21]","['Llera', 'Río Bravo', 'Méndez', 'San Carlos', 'Matamoros']"
5,17,91.02774008935067,"[19, 28, 33, 6, 4]","['Mainero', 'Ocampo', 'San Carlos', 'Camargo', 'Burgos']"
5,18,91.70546559282872,"[8, 30, 34, 37, 15]","['Ciudad Madero', 'Palmillas', 'San Fernando', 'Tampico', 'Hidalgo']"
5,19,69.28025693576629,"[42, 14, 22, 38, 16]","['Xicoténcatl', 'Gustavo Díaz Ordaz', 'Méndez', 'Tula', 'Jaumave']"
5,20,89.56782362722949,"[10, 19, 11, 38, 34]","['Gómez Farías', 'Mainero', 'González', 'Tula', 'San Fernando']"
5,21,66.91880633661742,"[20, 15, 11, 31, 25]","['El Mante', 'Hidalgo', 'González', 'Reynosa', 'Miquihuana']"
5,22,92.56767231325537,"[27, 40, 8, 14, 30]","['Nuevo Morelos', 'Victoria', 'Ciudad Madero', 'Gustavo Díaz Ordaz', 'Palmillas']"
5,23,146.71566372492086,"[27, 26, 11, 17, 1]","['Nuevo Morelos', 'Nuevo Laredo', 'González', 'Jiménez', 'Aldama']"
5,24,80.7464457127454,"[33, 17, 13, 14, 30]","['San Carlos', 'Jiménez', 'Guerrero', 'Gustavo Díaz Ordaz', 'Palmillas']"
5,25,87.66704687937816,"[0, 19, 9, 35, 6]","['Abasolo', 'Mainero', 'Cruillas', 'San Nicolás', 'Camargo']"
5,26,95.6092404983036,"[16, 9, 22, 19, 33]","['Jaumave', 'Cruillas', 'Méndez', 'Mainero', 'San Carlos']"
5,27,121.87855193244802,"[27, 13, 42, 8, 0]","['Nuevo Morelos', 'Guerrero', 'Xicoténcatl', 'Ciudad Madero', 'Abasolo']"
5,28,91.31451315682594,"[34, 9, 25, 35, 37]","['San Fernando', 'Cruillas', 'Miquihuana', 'San Nicolás', 'Tampico']"
5,29,41.52918143752906,"[21, 2, 36, 9, 24]","['Matamoros', 'Altamira', 'Soto la Marina', 'Cruillas', 'Miguel Alemán']"
